day	hour	value
1	1	2
1	2	2
1	3	2
1	4	1
1	5	3
1	6	1
1	7	5
1	8	8
1	9	2
1	10	1
1	11	5
1	12	1
1	13	1
1	14	2
1	15	6
1	16	3
1	17	2
1	18	8
1	19	3
1	20	3
1	21	1
1	22	0
1	23	1
1	24	2
2	1	1
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	8
2	8	5
2	9	5
2	10	0
2	11	9
2	12	1
2	13	2
2	14	0
2	15	1
2	16	0
2	17	1
2	18	0
2	19	0
2	20	0
2	21	1
2	22	5
2	23	1
2	24	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	0
3	6	0
3	7	4
3	8	1
3	9	5
3	10	4
3	11	9
3	12	1
3	13	5
3	14	2
3	15	3
3	16	1
3	17	1
3	18	1
3	19	1
3	20	2
3	21	1
3	22	3
3	23	2
3	24	2
4	1	2
4	2	0
4	3	1
4	4	1
4	5	4
4	6	2
4	7	1
4	8	1
4	9	5
4	10	7
4	11	1
4	12	5
4	13	1
4	14	1
4	15	2
4	16	2
4	17	1
4	18	1
4	19	1
4	20	1
4	21	2
4	22	1
4	23	3
4	24	2
5	1	1
5	2	1
5	3	1
5	4	0
5	5	2
5	6	2
5	7	2
5	8	2
5	9	3
5	10	5
5	11	4
5	12	2
5	13	3
5	14	3
5	15	3
5	16	1
5	17	2
5	18	4
5	19	3
5	20	3
5	21	7
5	22	4
5	23	1
5	24	1
6	1	1
6	2	1
6	3	0
6	4	1
6	5	1
6	6	3
6	7	1
6	8	5
6	9	4
6	10	1
6	11	1
6	12	1
6	13	1
6	14	2
6	15	0
6	16	1
6	17	1
6	18	2
6	19	3
6	20	3
6	21	1
6	22	5
6	23	2
6	24	2
7	1	1
7	2	2
7	3	2
7	4	2
7	5	2
7	6	1
7	7	2
7	8	2
7	9	2
7	10	1
7	11	10
7	12	3
7	13	2
7	14	2
7	15	4
7	16	2
7	17	4
7	18	2
7	19	7
7	20	2
7	21	2
7	22	2
7	23	2
7	24	2
