day	hour	value
1	1	0
1	2	6
1	3	5
1	4	0
1	5	1
1	6	2
1	7	1
1	8	0
1	9	0
1	10	0
1	11	4
1	12	4
1	13	2
1	14	1
1	15	1
1	16	5
1	17	6
1	18	5
1	19	1
1	20	0
1	21	3
1	22	2
1	23	0
1	24	3
2	1	4
2	2	0
2	3	1
2	4	1
2	5	4
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	5
2	12	3
2	13	5
2	14	1
2	15	1
2	16	0
2	17	3
2	18	1
2	19	1
2	20	0
2	21	0
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	16
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	1
3	13	3
3	14	0
3	15	2
3	16	0
3	17	1
3	18	0
3	19	3
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	13
4	7	4
4	8	0
4	9	0
4	10	0
4	11	9
4	12	1
4	13	5
4	14	6
4	15	0
4	16	1
4	17	2
4	18	1
4	19	0
4	20	1
4	21	4
4	22	1
4	23	0
4	24	1
5	1	1
5	2	0
5	3	1
5	4	7
5	5	3
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	2
5	12	14
5	13	4
5	14	7
5	15	4
5	16	2
5	17	2
5	18	1
5	19	4
5	20	3
5	21	2
5	22	2
5	23	3
5	24	1
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	21
6	13	8
6	14	5
6	15	4
6	16	0
6	17	2
6	18	5
6	19	2
6	20	2
6	21	8
6	22	3
6	23	0
6	24	1
7	1	1
7	2	2
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	7
7	13	18
7	14	1
7	15	6
7	16	0
7	17	1
7	18	1
7	19	1
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
