day	hour	value
1	1	0
1	2	1
1	3	2
1	4	4
1	5	1
1	6	0
1	7	0
1	8	2
1	9	0
1	10	1
1	11	3
1	12	9
1	13	7
1	14	0
1	15	7
1	16	4
1	17	1
1	18	3
1	19	2
1	20	2
1	21	1
1	22	2
1	23	0
1	24	1
2	1	0
2	2	1
2	3	1
2	4	4
2	5	1
2	6	0
2	7	0
2	8	1
2	9	0
2	10	0
2	11	1
2	12	10
2	13	3
2	14	3
2	15	6
2	16	2
2	17	5
2	18	2
2	19	6
2	20	3
2	21	3
2	22	2
2	23	0
2	24	2
3	1	1
3	2	0
3	3	1
3	4	4
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	8
3	13	3
3	14	0
3	15	1
3	16	3
3	17	2
3	18	1
3	19	4
3	20	3
3	21	2
3	22	3
3	23	0
3	24	1
4	1	1
4	2	0
4	3	1
4	4	4
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	1
4	11	0
4	12	5
4	13	4
4	14	1
4	15	2
4	16	1
4	17	3
4	18	2
4	19	2
4	20	0
4	21	2
4	22	1
4	23	1
4	24	3
5	1	3
5	2	2
5	3	2
5	4	6
5	5	0
5	6	0
5	7	1
5	8	0
5	9	1
5	10	0
5	11	0
5	12	5
5	13	2
5	14	3
5	15	1
5	16	6
5	17	2
5	18	2
5	19	2
5	20	4
5	21	4
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	5
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	9
6	13	3
6	14	1
6	15	2
6	16	1
6	17	0
6	18	2
6	19	2
6	20	1
6	21	0
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	4
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	3
7	13	5
7	14	1
7	15	2
7	16	2
7	17	0
7	18	2
7	19	4
7	20	1
7	21	4
7	22	7
7	23	1
7	24	2
