day	hour	value
1	1	0
1	2	4
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	4
1	10	5
1	11	0
1	12	1
1	13	0
1	14	0
1	15	8
1	16	1
1	17	9
1	18	3
1	19	4
1	20	2
1	21	7
1	22	1
1	23	0
1	24	0
2	1	0
2	2	6
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	7
2	10	9
2	11	3
2	12	0
2	13	2
2	14	2
2	15	5
2	16	0
2	17	15
2	18	4
2	19	4
2	20	2
2	21	0
2	22	2
2	23	2
2	24	0
3	1	0
3	2	9
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	8
3	9	8
3	10	7
3	11	2
3	12	0
3	13	1
3	14	0
3	15	4
3	16	1
3	17	10
3	18	3
3	19	2
3	20	2
3	21	0
3	22	2
3	23	2
3	24	0
4	1	0
4	2	5
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	3
4	10	6
4	11	3
4	12	2
4	13	2
4	14	1
4	15	6
4	16	1
4	17	14
4	18	5
4	19	4
4	20	4
4	21	1
4	22	3
4	23	1
4	24	0
5	1	0
5	2	9
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	8
5	9	4
5	10	3
5	11	4
5	12	3
5	13	5
5	14	0
5	15	9
5	16	3
5	17	7
5	18	3
5	19	3
5	20	2
5	21	1
5	22	3
5	23	2
5	24	0
6	1	0
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	3
6	9	4
6	10	3
6	11	1
6	12	2
6	13	1
6	14	0
6	15	5
6	16	1
6	17	9
6	18	4
6	19	3
6	20	1
6	21	1
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	5
7	10	0
7	11	2
7	12	1
7	13	0
7	14	0
7	15	4
7	16	0
7	17	4
7	18	3
7	19	2
7	20	2
7	21	1
7	22	2
7	23	1
7	24	0
