day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	2
5	1	3
5	2	7
5	3	1
5	4	5
5	5	3
5	6	3
5	7	1
5	8	1
5	9	5
5	10	3
5	11	4
5	12	5
5	13	2
5	14	4
5	15	7
5	16	11
5	17	3
5	18	2
5	19	1
5	20	3
5	21	3
5	22	5
5	23	1
5	24	2
6	1	2
6	2	3
6	3	3
6	4	5
6	5	1
6	6	3
6	7	0
6	8	2
6	9	1
6	10	1
6	11	3
6	12	3
6	13	2
6	14	6
6	15	0
6	16	7
6	17	2
6	18	0
6	19	1
6	20	4
6	21	1
6	22	5
6	23	2
6	24	5
7	1	7
7	2	5
7	3	2
7	4	4
7	5	1
7	6	2
7	7	1
7	8	3
7	9	1
7	10	3
7	11	3
7	12	2
7	13	3
7	14	4
7	15	1
7	16	7
7	17	1
7	18	1
7	19	2
7	20	3
7	21	4
7	22	0
7	23	0
7	24	0
