day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	1
1	6	0
1	7	1
1	8	0
1	9	1
1	10	1
1	11	1
1	12	0
1	13	1
1	14	0
1	15	1
1	16	0
1	17	1
1	18	0
1	19	1
1	20	0
1	21	0
1	22	0
1	23	3
1	24	0
2	1	1
2	2	0
2	3	1
2	4	0
2	5	1
2	6	0
2	7	1
2	8	0
2	9	1
2	10	0
2	11	1
2	12	1
2	13	1
2	14	0
2	15	1
2	16	2
2	17	1
2	18	0
2	19	1
2	20	1
2	21	4
2	22	19
2	23	12
2	24	0
3	1	0
3	2	0
3	3	2
3	4	0
3	5	0
3	6	0
3	7	2
3	8	0
3	9	0
3	10	0
3	11	2
3	12	0
3	13	0
3	14	0
3	15	2
3	16	3
3	17	1
3	18	0
3	19	5
3	20	3
3	21	81
3	22	35
3	23	2
3	24	0
4	1	1
4	2	0
4	3	2
4	4	0
4	5	0
4	6	0
4	7	2
4	8	0
4	9	1
4	10	0
4	11	2
4	12	1
4	13	3
4	14	0
4	15	1
4	16	0
4	17	2
4	18	0
4	19	2
4	20	9
4	21	4
4	22	2
4	23	2
4	24	4
5	1	3
5	2	0
5	3	1
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	4
5	12	15
5	13	13
5	14	3
5	15	1
5	16	0
5	17	1
5	18	0
5	19	1
5	20	0
5	21	2
5	22	0
5	23	1
5	24	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	2
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	2
6	14	0
6	15	1
6	16	0
6	17	2
6	18	0
6	19	1
6	20	0
6	21	1
6	22	0
6	23	1
6	24	0
7	1	1
7	2	0
7	3	1
7	4	0
7	5	1
7	6	0
7	7	1
7	8	0
7	9	1
7	10	0
7	11	3
7	12	1
7	13	0
7	14	0
7	15	1
7	16	0
7	17	1
7	18	0
7	19	1
7	20	0
7	21	1
7	22	0
7	23	2
7	24	0
