day	hour	value
1	1	5
1	2	6
1	3	2
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	14
1	13	1
1	14	1
1	15	18
1	16	21
1	17	22
1	18	2
1	19	2
1	20	2
1	21	3
1	22	0
1	23	1
1	24	7
2	1	1
2	2	7
2	3	4
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	5
2	13	1
2	14	4
2	15	11
2	16	11
2	17	16
2	18	2
2	19	1
2	20	2
2	21	3
2	22	1
2	23	0
2	24	2
3	1	5
3	2	6
3	3	10
3	4	2
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	0
3	11	3
3	12	1
3	13	1
3	14	2
3	15	7
3	16	15
3	17	7
3	18	0
3	19	3
3	20	1
3	21	10
3	22	0
3	23	2
3	24	7
4	1	2
4	2	7
4	3	5
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	0
4	11	1
4	12	6
4	13	1
4	14	3
4	15	9
4	16	9
4	17	11
4	18	2
4	19	0
4	20	3
4	21	9
4	22	1
4	23	2
4	24	16
5	1	15
5	2	8
5	3	10
5	4	3
5	5	0
5	6	1
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	8
5	13	0
5	14	3
5	15	12
5	16	10
5	17	11
5	18	4
5	19	4
5	20	3
5	21	4
5	22	1
5	23	3
5	24	6
6	1	2
6	2	13
6	3	7
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	3
6	12	7
6	13	12
6	14	4
6	15	1
6	16	3
6	17	5
6	18	0
6	19	1
6	20	2
6	21	3
6	22	0
6	23	1
6	24	2
7	1	2
7	2	7
7	3	5
7	4	0
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	4
7	14	9
7	15	0
7	16	3
7	17	4
7	18	0
7	19	0
7	20	6
7	21	5
7	22	0
7	23	1
7	24	7
