day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	3
1	10	2
1	11	0
1	12	0
1	13	3
1	14	1
1	15	1
1	16	0
1	17	2
1	18	2
1	19	0
1	20	1
1	21	0
1	22	5
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	4
2	10	3
2	11	0
2	12	0
2	13	0
2	14	7
2	15	1
2	16	2
2	17	1
2	18	1
2	19	2
2	20	0
2	21	0
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	2
3	13	0
3	14	5
3	15	0
3	16	2
3	17	2
3	18	0
3	19	0
3	20	2
3	21	2
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	3
4	11	2
4	12	2
4	13	0
4	14	1
4	15	0
4	16	0
4	17	2
4	18	1
4	19	1
4	20	2
4	21	0
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	3
5	12	1
5	13	2
5	14	3
5	15	2
5	16	0
5	17	0
5	18	0
5	19	0
5	20	3
5	21	1
5	22	1
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	3
6	10	2
6	11	4
6	12	3
6	13	4
6	14	10
6	15	5
6	16	3
6	17	9
6	18	25
6	19	27
6	20	22
6	21	19
6	22	36
6	23	4
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	0
7	13	0
7	14	0
7	15	1
7	16	4
7	17	3
7	18	0
7	19	2
7	20	1
7	21	1
7	22	0
7	23	0
7	24	0
