day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	3
1	10	5
1	11	7
1	12	4
1	13	8
1	14	4
1	15	2
1	16	1
1	17	2
1	18	2
1	19	3
1	20	4
1	21	1
1	22	1
1	23	3
1	24	0
2	1	0
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	3
2	10	5
2	11	3
2	12	0
2	13	1
2	14	1
2	15	3
2	16	1
2	17	1
2	18	0
2	19	2
2	20	0
2	21	4
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	2
3	10	6
3	11	1
3	12	2
3	13	3
3	14	4
3	15	1
3	16	1
3	17	3
3	18	0
3	19	0
3	20	1
3	21	0
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	0
4	10	3
4	11	2
4	12	3
4	13	2
4	14	4
4	15	2
4	16	0
4	17	0
4	18	3
4	19	4
4	20	1
4	21	3
4	22	1
4	23	2
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	2
5	10	4
5	11	8
5	12	3
5	13	7
5	14	2
5	15	3
5	16	1
5	17	1
5	18	0
5	19	0
5	20	1
5	21	1
5	22	1
5	23	0
5	24	3
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	5
6	11	4
6	12	2
6	13	6
6	14	3
6	15	3
6	16	7
6	17	4
6	18	14
6	19	7
6	20	14
6	21	21
6	22	9
6	23	3
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	7
7	13	4
7	14	4
7	15	0
7	16	0
7	17	5
7	18	3
7	19	4
7	20	2
7	21	1
7	22	1
7	23	0
7	24	0
