day	hour	value
1	1	1
1	2	6
1	3	0
1	4	2
1	5	5
1	6	0
1	7	1
1	8	5
1	9	0
1	10	1
1	11	5
1	12	1
1	13	2
1	14	5
1	15	1
1	16	0
1	17	8
1	18	0
1	19	2
1	20	6
1	21	2
1	22	0
1	23	5
1	24	0
2	1	1
2	2	5
2	3	1
2	4	2
2	5	5
2	6	0
2	7	1
2	8	5
2	9	0
2	10	1
2	11	9
2	12	2
2	13	3
2	14	5
2	15	1
2	16	2
2	17	7
2	18	0
2	19	1
2	20	6
2	21	1
2	22	2
2	23	6
2	24	1
3	1	0
3	2	5
3	3	3
3	4	0
3	5	5
3	6	0
3	7	0
3	8	5
3	9	1
3	10	0
3	11	5
3	12	1
3	13	1
3	14	5
3	15	1
3	16	2
3	17	5
3	18	1
3	19	0
3	20	5
3	21	0
3	22	1
3	23	6
3	24	1
4	1	2
4	2	5
4	3	1
4	4	1
4	5	5
4	6	0
4	7	0
4	8	4
4	9	1
4	10	0
4	11	5
4	12	0
4	13	1
4	14	4
4	15	1
4	16	0
4	17	5
4	18	1
4	19	0
4	20	5
4	21	0
4	22	0
4	23	5
4	24	1
5	1	1
5	2	6
5	3	2
5	4	0
5	5	5
5	6	2
5	7	0
5	8	5
5	9	1
5	10	0
5	11	6
5	12	3
5	13	4
5	14	5
5	15	0
5	16	1
5	17	4
5	18	3
5	19	2
5	20	5
5	21	0
5	22	1
5	23	5
5	24	0
6	1	0
6	2	5
6	3	0
6	4	0
6	5	5
6	6	0
6	7	0
6	8	6
6	9	1
6	10	0
6	11	6
6	12	1
6	13	0
6	14	5
6	15	1
6	16	0
6	17	6
6	18	0
6	19	0
6	20	5
6	21	0
6	22	0
6	23	5
6	24	0
7	1	0
7	2	6
7	3	0
7	4	1
7	5	4
7	6	0
7	7	1
7	8	4
7	9	1
7	10	0
7	11	4
7	12	1
7	13	1
7	14	7
7	15	3
7	16	2
7	17	5
7	18	1
7	19	1
7	20	6
7	21	0
7	22	1
7	23	5
7	24	0
