day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	5
1	10	2
1	11	3
1	12	6
1	13	3
1	14	11
1	15	14
1	16	2
1	17	4
1	18	1
1	19	3
1	20	1
1	21	3
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	1
2	4	1
2	5	1
2	6	1
2	7	0
2	8	0
2	9	4
2	10	3
2	11	4
2	12	7
2	13	2
2	14	7
2	15	15
2	16	2
2	17	2
2	18	0
2	19	1
2	20	2
2	21	2
2	22	1
2	23	0
2	24	1
3	1	0
3	2	1
3	3	1
3	4	1
3	5	2
3	6	0
3	7	0
3	8	0
3	9	3
3	10	0
3	11	0
3	12	4
3	13	4
3	14	10
3	15	17
3	16	7
3	17	1
3	18	1
3	19	1
3	20	1
3	21	1
3	22	1
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	0
4	9	4
4	10	2
4	11	2
4	12	7
4	13	6
4	14	12
4	15	15
4	16	4
4	17	2
4	18	2
4	19	3
4	20	2
4	21	2
4	22	1
4	23	1
4	24	1
5	1	0
5	2	2
5	3	1
5	4	2
5	5	0
5	6	0
5	7	0
5	8	0
5	9	4
5	10	0
5	11	2
5	12	7
5	13	4
5	14	7
5	15	14
5	16	2
5	17	1
5	18	3
5	19	2
5	20	0
5	21	1
5	22	0
5	23	0
5	24	1
6	1	0
6	2	2
6	3	1
6	4	2
6	5	1
6	6	1
6	7	1
6	8	0
6	9	4
6	10	1
6	11	3
6	12	4
6	13	2
6	14	7
6	15	14
6	16	3
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	1
7	2	2
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	3
7	10	0
7	11	3
7	12	2
7	13	3
7	14	8
7	15	13
7	16	0
7	17	0
7	18	2
7	19	0
7	20	1
7	21	0
7	22	1
7	23	1
7	24	0
