day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	1
1	13	2
1	14	0
1	15	3
1	16	2
1	17	2
1	18	10
1	19	7
1	20	7
1	21	5
1	22	6
1	23	2
1	24	1
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	1
2	13	0
2	14	4
2	15	5
2	16	7
2	17	2
2	18	8
2	19	4
2	20	3
2	21	5
2	22	1
2	23	5
2	24	3
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	1
3	14	3
3	15	5
3	16	0
3	17	4
3	18	3
3	19	11
3	20	9
3	21	4
3	22	7
3	23	3
3	24	3
4	1	0
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	1
4	14	3
4	15	2
4	16	7
4	17	7
4	18	8
4	19	7
4	20	12
4	21	7
4	22	1
4	23	6
4	24	2
5	1	3
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	1
5	13	4
5	14	2
5	15	1
5	16	1
5	17	3
5	18	12
5	19	7
5	20	8
5	21	8
5	22	8
5	23	5
5	24	5
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	3
6	13	3
6	14	1
6	15	5
6	16	9
6	17	1
6	18	2
6	19	3
6	20	4
6	21	4
6	22	2
6	23	0
6	24	2
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	2
7	13	1
7	14	0
7	15	3
7	16	7
7	17	3
7	18	4
7	19	0
7	20	0
7	21	6
7	22	3
7	23	2
7	24	0
