day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	1
1	7	1
1	8	5
1	9	2
1	10	0
1	11	0
1	12	3
1	13	3
1	14	4
1	15	2
1	16	1
1	17	1
1	18	2
1	19	2
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	2
2	4	0
2	5	2
2	6	3
2	7	9
2	8	2
2	9	6
2	10	2
2	11	2
2	12	2
2	13	3
2	14	0
2	15	0
2	16	1
2	17	1
2	18	1
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	1
3	3	1
3	4	3
3	5	3
3	6	2
3	7	2
3	8	3
3	9	2
3	10	0
3	11	2
3	12	1
3	13	0
3	14	0
3	15	1
3	16	0
3	17	1
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	3
4	4	4
4	5	2
4	6	4
4	7	4
4	8	1
4	9	1
4	10	4
4	11	3
4	12	2
4	13	1
4	14	1
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	1
5	3	1
5	4	2
5	5	1
5	6	2
5	7	7
5	8	3
5	9	7
5	10	0
5	11	1
5	12	1
5	13	2
5	14	2
5	15	1
5	16	0
5	17	1
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	3
6	3	5
6	4	9
6	5	11
6	6	7
6	7	2
6	8	3
6	9	0
6	10	1
6	11	1
6	12	1
6	13	2
6	14	0
6	15	3
6	16	0
6	17	0
6	18	2
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	1
7	4	1
7	5	1
7	6	0
7	7	2
7	8	2
7	9	2
7	10	7
7	11	2
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	1
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
