day	hour	value
1	1	7
1	2	4
1	3	1
1	4	1
1	5	4
1	6	1
1	7	1
1	8	4
1	9	1
1	10	3
1	11	3
1	12	0
1	13	4
1	14	1
1	15	1
1	16	2
1	17	4
1	18	2
1	19	2
1	20	7
1	21	10
1	22	7
1	23	12
1	24	5
2	1	6
2	2	3
2	3	0
2	4	2
2	5	2
2	6	1
2	7	3
2	8	2
2	9	2
2	10	1
2	11	3
2	12	1
2	13	2
2	14	3
2	15	1
2	16	3
2	17	2
2	18	2
2	19	2
2	20	5
2	21	4
2	22	8
2	23	13
2	24	15
3	1	3
3	2	1
3	3	2
3	4	0
3	5	4
3	6	0
3	7	0
3	8	2
3	9	2
3	10	2
3	11	1
3	12	3
3	13	2
3	14	2
3	15	2
3	16	0
3	17	3
3	18	2
3	19	0
3	20	2
3	21	12
3	22	19
3	23	9
3	24	5
4	1	8
4	2	2
4	3	2
4	4	1
4	5	2
4	6	0
4	7	1
4	8	2
4	9	3
4	10	2
4	11	1
4	12	1
4	13	3
4	14	0
4	15	2
4	16	1
4	17	2
4	18	0
4	19	0
4	20	6
4	21	5
4	22	4
4	23	11
4	24	6
5	1	4
5	2	1
5	3	0
5	4	2
5	5	3
5	6	0
5	7	2
5	8	3
5	9	1
5	10	2
5	11	1
5	12	2
5	13	1
5	14	3
5	15	0
5	16	0
5	17	3
5	18	3
5	19	1
5	20	5
5	21	2
5	22	7
5	23	8
5	24	6
6	1	6
6	2	2
6	3	1
6	4	1
6	5	5
6	6	0
6	7	2
6	8	2
6	9	2
6	10	4
6	11	4
6	12	3
6	13	3
6	14	5
6	15	8
6	16	4
6	17	3
6	18	0
6	19	1
6	20	4
6	21	6
6	22	6
6	23	8
6	24	7
7	1	6
7	2	0
7	3	1
7	4	3
7	5	2
7	6	0
7	7	5
7	8	7
7	9	3
7	10	5
7	11	2
7	12	5
7	13	5
7	14	1
7	15	3
7	16	1
7	17	1
7	18	2
7	19	2
7	20	1
7	21	6
7	22	4
7	23	4
7	24	6
