day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	5
1	10	1
1	11	2
1	12	4
1	13	6
1	14	14
1	15	8
1	16	6
1	17	1
1	18	0
1	19	0
1	20	5
1	21	3
1	22	3
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	3
2	11	1
2	12	3
2	13	6
2	14	11
2	15	1
2	16	5
2	17	3
2	18	2
2	19	10
2	20	1
2	21	2
2	22	0
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	4
3	11	6
3	12	5
3	13	10
3	14	10
3	15	1
3	16	9
3	17	2
3	18	1
3	19	1
3	20	5
3	21	0
3	22	3
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	4
4	11	3
4	12	2
4	13	5
4	14	3
4	15	5
4	16	3
4	17	10
4	18	4
4	19	1
4	20	2
4	21	0
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	5
5	10	1
5	11	1
5	12	7
5	13	9
5	14	14
5	15	7
5	16	2
5	17	2
5	18	3
5	19	3
5	20	0
5	21	0
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	4
6	10	3
6	11	2
6	12	7
6	13	0
6	14	2
6	15	1
6	16	0
6	17	1
6	18	1
6	19	2
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	2
7	12	1
7	13	0
7	14	1
7	15	5
7	16	4
7	17	1
7	18	5
7	19	0
7	20	2
7	21	0
7	22	0
7	23	0
7	24	0
