day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	7
1	9	4
1	10	8
1	11	4
1	12	8
1	13	5
1	14	3
1	15	2
1	16	4
1	17	4
1	18	7
1	19	6
1	20	2
1	21	2
1	22	2
1	23	1
1	24	0
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	3
2	8	5
2	9	8
2	10	3
2	11	5
2	12	3
2	13	3
2	14	3
2	15	5
2	16	5
2	17	3
2	18	6
2	19	5
2	20	3
2	21	2
2	22	2
2	23	2
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	1
3	10	0
3	11	0
3	12	0
3	13	2
3	14	0
3	15	0
3	16	2
3	17	2
3	18	3
3	19	0
3	20	0
3	21	0
3	22	1
3	23	1
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	2
4	11	0
4	12	0
4	13	2
4	14	2
4	15	3
4	16	5
4	17	1
4	18	2
4	19	3
4	20	2
4	21	0
4	22	4
4	23	0
4	24	0
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	1
5	10	7
5	11	21
5	12	5
5	13	8
5	14	1
5	15	5
5	16	4
5	17	3
5	18	3
5	19	3
5	20	1
5	21	1
5	22	2
5	23	2
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	3
6	9	2
6	10	1
6	11	5
6	12	2
6	13	5
6	14	7
6	15	7
6	16	10
6	17	1
6	18	6
6	19	5
6	20	2
6	21	0
6	22	4
6	23	0
6	24	0
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	3
7	9	1
7	10	3
7	11	1
7	12	8
7	13	3
7	14	4
7	15	4
7	16	4
7	17	7
7	18	6
7	19	2
7	20	2
7	21	2
7	22	2
7	23	0
7	24	0
