day	hour	value
1	1	0
1	2	0
1	3	0
1	4	2
1	5	6
1	6	1
1	7	2
1	8	1
1	9	10
1	10	1
1	11	7
1	12	2
1	13	1
1	14	0
1	15	2
1	16	2
1	17	2
1	18	4
1	19	1
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	2
2	4	0
2	5	3
2	6	1
2	7	1
2	8	5
2	9	2
2	10	3
2	11	6
2	12	1
2	13	2
2	14	0
2	15	0
2	16	3
2	17	5
2	18	6
2	19	3
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	4
3	5	1
3	6	3
3	7	2
3	8	4
3	9	3
3	10	7
3	11	6
3	12	2
3	13	0
3	14	2
3	15	4
3	16	3
3	17	4
3	18	0
3	19	0
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	4
4	4	2
4	5	6
4	6	4
4	7	3
4	8	2
4	9	8
4	10	3
4	11	10
4	12	1
4	13	3
4	14	0
4	15	3
4	16	0
4	17	0
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	2
5	4	6
5	5	5
5	6	7
5	7	2
5	8	4
5	9	2
5	10	4
5	11	1
5	12	10
5	13	0
5	14	1
5	15	4
5	16	4
5	17	3
5	18	1
5	19	1
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	3
6	3	2
6	4	3
6	5	4
6	6	6
6	7	1
6	8	4
6	9	3
6	10	7
6	11	10
6	12	3
6	13	0
6	14	6
6	15	0
6	16	2
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	0
7	10	1
7	11	0
7	12	3
7	13	1
7	14	1
7	15	0
7	16	2
7	17	4
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
