day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	5
1	11	1
1	12	2
1	13	2
1	14	2
1	15	4
1	16	0
1	17	1
1	18	2
1	19	0
1	20	4
1	21	0
1	22	3
1	23	2
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	0
2	9	1
2	10	4
2	11	2
2	12	1
2	13	4
2	14	1
2	15	0
2	16	3
2	17	0
2	18	3
2	19	0
2	20	0
2	21	1
2	22	2
2	23	4
2	24	0
3	1	3
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	5
3	11	6
3	12	2
3	13	2
3	14	1
3	15	1
3	16	4
3	17	1
3	18	1
3	19	3
3	20	0
3	21	3
3	22	1
3	23	4
3	24	2
4	1	1
4	2	2
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	4
4	11	6
4	12	3
4	13	3
4	14	3
4	15	1
4	16	2
4	17	0
4	18	3
4	19	0
4	20	1
4	21	1
4	22	5
4	23	6
4	24	7
5	1	2
5	2	3
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	4
5	10	12
5	11	3
5	12	5
5	13	1
5	14	2
5	15	3
5	16	0
5	17	0
5	18	2
5	19	1
5	20	0
5	21	1
5	22	2
5	23	2
5	24	5
6	1	0
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	3
6	11	2
6	12	0
6	13	1
6	14	0
6	15	0
6	16	1
6	17	0
6	18	4
6	19	4
6	20	1
6	21	1
6	22	0
6	23	4
6	24	1
7	1	0
7	2	0
7	3	2
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	2
7	10	3
7	11	5
7	12	3
7	13	1
7	14	4
7	15	1
7	16	1
7	17	8
7	18	3
7	19	5
7	20	0
7	21	6
7	22	2
7	23	4
7	24	1
