day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	6
1	11	1
1	12	0
1	13	3
1	14	3
1	15	3
1	16	0
1	17	3
1	18	0
1	19	1
1	20	4
1	21	3
1	22	5
1	23	4
1	24	3
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	1
2	12	2
2	13	1
2	14	3
2	15	2
2	16	4
2	17	0
2	18	1
2	19	3
2	20	3
2	21	1
2	22	2
2	23	0
2	24	1
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	0
3	11	2
3	12	2
3	13	1
3	14	3
3	15	1
3	16	2
3	17	2
3	18	2
3	19	2
3	20	1
3	21	0
3	22	2
3	23	2
3	24	1
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	1
4	11	3
4	12	1
4	13	10
4	14	6
4	15	3
4	16	2
4	17	3
4	18	2
4	19	1
4	20	7
4	21	6
4	22	5
4	23	7
4	24	3
5	1	1
5	2	2
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	9
5	11	2
5	12	1
5	13	2
5	14	1
5	15	5
5	16	0
5	17	0
5	18	1
5	19	4
5	20	1
5	21	6
5	22	7
5	23	2
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	7
6	11	5
6	12	2
6	13	2
6	14	10
6	15	8
6	16	1
6	17	3
6	18	6
6	19	0
6	20	2
6	21	2
6	22	2
6	23	1
6	24	3
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	1
7	10	8
7	11	5
7	12	5
7	13	3
7	14	1
7	15	6
7	16	0
7	17	1
7	18	3
7	19	5
7	20	0
7	21	4
7	22	3
7	23	4
7	24	3
