day	hour	value
1	1	35
1	2	10
1	3	0
1	4	3
1	5	0
1	6	0
1	7	0
1	8	0
1	9	3
1	10	0
1	11	1
1	12	2
1	13	0
1	14	0
1	15	0
1	16	0
1	17	4
1	18	2
1	19	0
1	20	0
1	21	2
1	22	1
1	23	3
1	24	27
2	1	32
2	2	18
2	3	15
2	4	3
2	5	0
2	6	0
2	7	0
2	8	0
2	9	3
2	10	1
2	11	0
2	12	1
2	13	1
2	14	0
2	15	0
2	16	2
2	17	3
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	1
3	1	0
3	2	21
3	3	46
3	4	2
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	0
3	11	1
3	12	1
3	13	1
3	14	0
3	15	0
3	16	2
3	17	3
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	4
4	3	0
4	4	2
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	0
4	11	0
4	12	1
4	13	0
4	14	1
4	15	0
4	16	0
4	17	3
4	18	0
4	19	0
4	20	1
4	21	1
4	22	0
4	23	0
4	24	1
5	1	2
5	2	0
5	3	11
5	4	3
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	3
5	11	1
5	12	3
5	13	2
5	14	0
5	15	1
5	16	1
5	17	4
5	18	0
5	19	0
5	20	3
5	21	0
5	22	1
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	2
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	0
6	11	1
6	12	0
6	13	1
6	14	0
6	15	0
6	16	1
6	17	2
6	18	0
6	19	0
6	20	0
6	21	2
6	22	0
6	23	2
6	24	0
7	1	5
7	2	14
7	3	25
7	4	20
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	0
7	11	2
7	12	0
7	13	1
7	14	0
7	15	2
7	16	0
7	17	4
7	18	0
7	19	0
7	20	0
7	21	1
7	22	2
7	23	1
7	24	0
