day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	1
1	9	1
1	10	3
1	11	3
1	12	3
1	13	3
1	14	2
1	15	3
1	16	2
1	17	2
1	18	3
1	19	2
1	20	1
1	21	2
1	22	4
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	2
2	9	2
2	10	5
2	11	3
2	12	5
2	13	5
2	14	3
2	15	0
2	16	2
2	17	2
2	18	3
2	19	1
2	20	2
2	21	2
2	22	5
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	3
3	9	4
3	10	2
3	11	2
3	12	1
3	13	5
3	14	1
3	15	2
3	16	5
3	17	0
3	18	2
3	19	1
3	20	3
3	21	2
3	22	4
3	23	12
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	5
4	10	1
4	11	2
4	12	4
4	13	3
4	14	7
4	15	1
4	16	3
4	17	3
4	18	5
4	19	5
4	20	5
4	21	3
4	22	4
4	23	3
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	1
5	9	4
5	10	2
5	11	5
5	12	4
5	13	2
5	14	4
5	15	4
5	16	2
5	17	3
5	18	6
5	19	1
5	20	3
5	21	1
5	22	6
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	4
6	10	2
6	11	5
6	12	3
6	13	5
6	14	3
6	15	4
6	16	2
6	17	4
6	18	5
6	19	0
6	20	4
6	21	1
6	22	2
6	23	2
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	1
7	10	5
7	11	4
7	12	4
7	13	3
7	14	2
7	15	2
7	16	0
7	17	4
7	18	0
7	19	1
7	20	6
7	21	3
7	22	1
7	23	2
7	24	0
