day	hour	value
1	1	1
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	2
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	3
1	17	0
1	18	0
1	19	1
1	20	1
1	21	1
1	22	1
1	23	0
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	0
2	9	4
2	10	0
2	11	0
2	12	0
2	13	1
2	14	1
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	2
2	22	0
2	23	0
2	24	0
3	1	1
3	2	1
3	3	0
3	4	0
3	5	0
3	6	2
3	7	0
3	8	1
3	9	2
3	10	2
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	1
3	18	0
3	19	0
3	20	3
3	21	0
3	22	0
3	23	2
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	2
4	13	4
4	14	1
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	1
4	22	0
4	23	0
4	24	0
5	1	1
5	2	0
5	3	0
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	3
5	11	2
5	12	0
5	13	0
5	14	1
5	15	0
5	16	1
5	17	1
5	18	0
5	19	2
5	20	2
5	21	2
5	22	0
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	2
6	12	0
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	1
6	19	0
6	20	1
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	3
7	14	0
7	15	0
7	16	0
7	17	0
7	18	3
7	19	1
7	20	1
7	21	0
7	22	0
7	23	0
7	24	1
