day	hour	value
1	1	1
1	2	3
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	7
1	10	8
1	11	3
1	12	0
1	13	0
1	14	0
1	15	2
1	16	1
1	17	2
1	18	0
1	19	4
1	20	2
1	21	1
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	1
2	9	5
2	10	3
2	11	5
2	12	2
2	13	0
2	14	5
2	15	1
2	16	3
2	17	0
2	18	2
2	19	3
2	20	1
2	21	1
2	22	3
2	23	0
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	7
3	10	6
3	11	7
3	12	6
3	13	1
3	14	2
3	15	2
3	16	0
3	17	0
3	18	0
3	19	2
3	20	6
3	21	2
3	22	2
3	23	3
3	24	0
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	2
4	9	4
4	10	7
4	11	3
4	12	6
4	13	8
4	14	7
4	15	1
4	16	1
4	17	3
4	18	1
4	19	2
4	20	2
4	21	2
4	22	1
4	23	1
4	24	3
5	1	1
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	0
5	10	6
5	11	8
5	12	8
5	13	4
5	14	4
5	15	0
5	16	1
5	17	2
5	18	0
5	19	1
5	20	4
5	21	4
5	22	0
5	23	0
5	24	3
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	2
6	10	3
6	11	9
6	12	2
6	13	5
6	14	5
6	15	2
6	16	2
6	17	2
6	18	1
6	19	1
6	20	3
6	21	3
6	22	1
6	23	2
6	24	0
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	1
7	11	9
7	12	1
7	13	4
7	14	1
7	15	3
7	16	1
7	17	4
7	18	0
7	19	2
7	20	2
7	21	5
7	22	2
7	23	3
7	24	0
