day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	0
1	8	1
1	9	0
1	10	1
1	11	2
1	12	1
1	13	2
1	14	6
1	15	2
1	16	0
1	17	2
1	18	3
1	19	3
1	20	0
1	21	5
1	22	1
1	23	0
1	24	2
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	1
2	9	1
2	10	2
2	11	2
2	12	0
2	13	6
2	14	1
2	15	1
2	16	2
2	17	1
2	18	2
2	19	0
2	20	1
2	21	0
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	1
3	8	0
3	9	3
3	10	1
3	11	5
3	12	5
3	13	3
3	14	2
3	15	3
3	16	0
3	17	1
3	18	2
3	19	2
3	20	1
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	2
4	13	1
4	14	0
4	15	2
4	16	0
4	17	2
4	18	3
4	19	2
4	20	8
4	21	1
4	22	1
4	23	0
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
5	9	3
5	10	5
5	11	0
5	12	0
5	13	2
5	14	2
5	15	5
5	16	4
5	17	3
5	18	1
5	19	2
5	20	0
5	21	2
5	22	2
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	1
6	10	2
6	11	1
6	12	3
6	13	0
6	14	2
6	15	3
6	16	0
6	17	2
6	18	1
6	19	0
6	20	2
6	21	2
6	22	1
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	1
7	10	0
7	11	0
7	12	2
7	13	1
7	14	0
7	15	0
7	16	2
7	17	1
7	18	2
7	19	1
7	20	1
7	21	0
7	22	2
7	23	1
7	24	0
