day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	0
1	10	1
1	11	3
1	12	13
1	13	6
1	14	3
1	15	7
1	16	0
1	17	2
1	18	4
1	19	4
1	20	3
1	21	7
1	22	6
1	23	0
1	24	6
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	2
2	7	0
2	8	4
2	9	5
2	10	4
2	11	8
2	12	3
2	13	9
2	14	3
2	15	10
2	16	1
2	17	6
2	18	6
2	19	5
2	20	5
2	21	6
2	22	6
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	1
3	7	3
3	8	3
3	9	7
3	10	1
3	11	4
3	12	8
3	13	12
3	14	3
3	15	4
3	16	1
3	17	3
3	18	3
3	19	4
3	20	5
3	21	4
3	22	3
3	23	0
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	3
4	9	1
4	10	3
4	11	3
4	12	3
4	13	1
4	14	3
4	15	5
4	16	4
4	17	3
4	18	2
4	19	2
4	20	7
4	21	2
4	22	1
4	23	0
4	24	4
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	1
5	8	2
5	9	4
5	10	0
5	11	2
5	12	4
5	13	5
5	14	13
5	15	3
5	16	2
5	17	12
5	18	8
5	19	1
5	20	3
5	21	6
5	22	1
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	1
6	8	2
6	9	5
6	10	8
6	11	0
6	12	1
6	13	5
6	14	3
6	15	2
6	16	0
6	17	3
6	18	0
6	19	0
6	20	7
6	21	2
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	4
7	8	0
7	9	1
7	10	0
7	11	1
7	12	3
7	13	3
7	14	0
7	15	3
7	16	0
7	17	1
7	18	3
7	19	2
7	20	1
7	21	2
7	22	2
7	23	1
7	24	1
